,Player,Pos,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Age at First Season,Age at Last Season,Num Season(s),MVP(s)
0,Mahmoud Abdul-Rauf,PG,['SAC' 'VAN'],36.0,0.0,14.5,3.1,7.4,43.2,0.2,0.6,22.3,3.0,6.8,45.2,44.1,0.5,0.6,87.9,0.2,0.8,0.9,1.9,0.4,0.0,0.6,1.1,6.9,28,31,2,0
1,Tariq Abdul-Wahad,SG,['SAC' 'TOT' 'ORL' 'DEN' 'DAL'],32.1,21.3,19.2,2.7,6.7,36.9,0.0,0.2,29.1,2.7,6.4,37.4,37.4,1.3,1.9,61.8,1.3,2.0,3.3,1.2,0.7,0.4,1.2,2.1,6.8,23,28,6,0
2,Shareef Abdur-Rahim,PF,['VAN' 'ATL' 'TOT' 'POR' 'SAC'],64.2,53.0,32.3,5.9,12.6,45.5,0.2,0.6,28.9,5.8,12.1,46.3,46.1,4.4,5.4,83.6,2.1,4.9,7.0,2.4,0.9,0.7,2.3,2.7,16.5,21,31,11,0
3,Cory Alexander,PG,['TOT' 'SAS' 'DEN' 'ORL' 'CHA'],32.4,7.3,17.7,2.1,5.4,36.9,0.8,2.2,33.0,1.3,3.1,39.6,43.5,1.0,1.3,76.2,0.3,1.8,2.0,2.9,1.0,0.1,1.6,1.6,6.0,24,31,5,0
4,Ray Allen*,SG,['MIL' 'TOT' 'SEA' 'BOS' 'MIA'],68.1,60.2,36.2,6.9,15.2,45.2,2.4,6.0,39.7,4.5,9.2,49.0,53.3,3.5,3.9,90.1,1.0,3.2,4.2,3.6,1.2,0.2,2.2,2.2,19.6,22,38,17,0
5,Derek Anderson,SG,['CLE' 'LAC' 'SAS' 'POR' 'TOT' 'HOU' 'MIA' 'CHA'],50.6,30.8,27.4,3.5,8.8,39.4,1.0,3.0,32.6,2.5,5.8,42.6,45.3,2.8,3.3,83.9,0.6,2.5,3.1,3.1,1.0,0.1,1.6,2.0,10.8,23,33,11,0
6,Greg Anderson,C,ATL,50.0,0.0,8.0,0.7,1.6,44.4,0.0,0.1,0.0,0.7,1.5,47.4,44.4,0.3,0.8,39.0,0.8,1.6,2.4,0.3,0.4,0.2,0.3,1.7,1.8,33,33,1,0
7,Kenny Anderson,PG,['TOT' 'POR' 'BOS' 'SEA' 'NOH' 'IND' 'ATL' 'LAC'],42.8,29.0,23.2,3.3,7.7,41.9,0.3,0.9,31.8,2.9,6.8,42.6,43.6,1.4,1.8,77.8,0.5,1.8,2.4,4.0,1.1,0.1,1.5,2.1,8.2,27,34,8,0
8,Nick Anderson,SG,['ORL' 'SAC' 'MEM'],42.6,31.0,22.9,3.5,9.1,35.3,1.3,4.0,31.3,2.2,5.0,37.7,42.9,1.0,1.7,57.3,0.8,3.0,3.8,1.4,1.0,0.3,1.2,1.3,9.4,30,34,5,0
9,Shandon Anderson,SG,['UTA' 'HOU' 'NYK' 'TOT' 'MIA'],65.5,21.0,21.5,2.4,5.4,41.1,0.4,1.2,24.8,2.0,4.2,44.9,43.8,1.2,1.7,74.9,0.8,2.1,2.9,1.2,0.7,0.2,1.2,2.0,6.3,24,32,9,0
10,Chris Anstey,C,['DAL' 'CHI'],51.7,7.7,14.0,1.9,4.7,40.0,0.0,0.2,11.8,1.9,4.4,41.3,40.3,1.2,1.7,73.8,1.1,2.2,3.3,0.8,0.5,0.4,0.9,2.4,5.1,23,25,3,0
11,Greg Anthony,PG,['SEA' 'POR' 'TOT' 'CHI' 'MIL'],55.7,11.3,19.6,2.4,6.1,39.8,0.9,2.6,35.3,1.5,3.5,42.3,48.0,0.9,1.3,67.7,0.3,1.4,1.7,3.2,1.1,0.1,1.2,1.6,6.6,30,34,5,0
12,B.J. Armstrong,PG,['TOT' 'GSW' 'CHH' 'ORL' 'CHI'],31.9,2.9,14.1,1.7,3.9,44.7,0.2,0.6,33.3,1.5,3.3,46.2,47.6,0.7,0.9,83.8,0.2,1.1,1.4,2.2,0.5,0.0,1.0,1.2,4.4,30,32,3,0
13,Darrell Armstrong,PG,['ORL' 'NOH' 'DAL' 'IND'],63.7,27.7,26.3,3.6,9.0,39.8,1.2,3.6,32.1,2.5,5.4,45.7,46.2,1.9,2.2,86.2,0.9,2.2,3.1,4.5,1.4,0.1,2.1,1.8,10.3,29,38,9,0
14,Keith Askins,SF,MIA,39.5,12.5,13.7,0.7,2.3,32.2,0.4,1.2,28.0,0.4,1.0,37.0,39.6,0.2,0.3,62.9,0.4,1.3,1.8,0.4,0.6,0.2,0.5,2.0,2.0,30,31,2,0
15,Isaac Austin,C,['TOT' 'ORL' 'WAS' 'VAN'],59.5,34.5,22.7,3.4,7.9,41.5,0.0,0.2,19.7,3.3,7.7,41.9,41.8,1.8,2.8,68.1,1.6,3.7,5.2,1.6,0.6,0.6,1.9,2.4,8.5,28,31,4,0
16,Brent Barry,SG,['LAC' 'MIA' 'SEA' 'SAS' 'HOU'],57.2,23.7,23.3,2.8,6.2,45.0,1.4,3.5,40.3,1.4,2.6,52.4,57.1,1.3,1.5,86.6,0.4,2.3,2.7,2.7,0.9,0.3,1.2,1.6,8.4,26,37,8,0
17,Drew Barry,PG,ATL,27.0,0.0,9.5,0.7,1.4,47.4,0.3,0.8,42.9,0.3,0.6,52.9,59.2,0.4,0.5,84.6,0.2,1.1,1.3,1.8,0.4,0.0,1.1,1.0,2.1,24,24,1,0
18,Tony Battie,C,['DEN' 'BOS' 'CLE' 'ORL' 'NJN' 'PHI'],56.7,27.2,18.9,2.2,4.8,45.9,0.0,0.1,21.7,2.2,4.7,46.3,46.2,0.8,1.2,70.9,1.4,3.1,4.4,0.6,0.4,0.7,0.8,2.3,5.3,21,35,11,0
19,Corey Beck,PG,['CHH' 'DET'],27.7,4.7,8.6,0.9,1.9,47.0,0.0,0.1,75.0,0.8,1.8,46.4,47.8,0.5,0.7,73.0,0.4,0.9,1.2,1.0,0.4,0.1,0.7,1.2,2.2,26,27,2,0
20,Benoit Benjamin,C,['PHI' 'CLE'],7.7,0.0,7.4,0.7,1.7,38.5,0.0,0.0,,0.7,1.7,38.5,38.5,0.5,0.7,63.3,0.6,1.2,1.8,0.1,0.1,0.2,0.5,1.1,2.0,33,35,3,0
21,Mario Bennett,PF,['LAL' 'CHI' 'LAC'],16.3,1.3,5.7,0.8,2.7,30.9,0.0,0.0,50.0,0.8,2.7,30.9,31.0,0.5,0.8,55.7,1.0,1.2,2.2,0.1,0.2,0.1,0.3,1.2,2.1,24,26,3,0
22,David Benoit,SF,['TOT' 'NJN' 'ORL' 'UTA'],50.8,0.5,13.1,1.8,4.8,39.9,0.6,1.7,33.2,1.3,3.1,42.9,45.1,0.8,1.0,81.5,0.7,1.7,2.4,0.3,0.4,0.2,0.6,1.8,5.1,29,32,2,0
23,Travis Best,PG,['IND' 'TOT' 'CHI' 'MIA' 'DAL' 'NJN'],64.7,12.2,22.1,2.9,6.7,42.7,0.3,1.0,32.7,2.6,5.8,44.3,45.1,1.5,1.7,86.5,0.3,1.6,1.8,3.7,1.0,0.1,1.2,2.3,7.6,25,32,8,0
24,Chauncey Billups,PG,['TOT' 'BOS' 'TOR' 'DEN' 'MIN' 'DET' 'NYK' 'LAC'],54.4,51.1,30.8,4.2,10.6,39.7,1.7,4.6,36.4,2.6,6.0,42.3,47.8,4.2,4.7,89.2,0.4,2.4,2.8,5.1,1.0,0.2,2.1,2.0,14.4,21,37,16,0
25,Mookie Blaylock,PG,['ATL' 'GSW'],59.0,49.6,32.0,4.2,10.9,38.0,1.2,3.7,31.9,3.0,7.1,41.4,43.3,0.9,1.3,67.4,0.8,2.9,3.7,5.8,2.0,0.2,2.0,1.4,10.4,30,34,5,0
26,Corie Blount,PF,['LAL' 'TOT' 'CLE' 'PHO' 'GSW' 'PHI' 'CHI' 'TOR'],42.9,4.0,16.7,1.5,3.4,44.5,0.0,0.1,5.6,1.5,3.3,45.0,44.5,0.5,1.0,56.8,1.8,2.7,4.6,0.6,0.6,0.4,0.8,2.3,3.5,29,35,7,0
27,Muggsy Bogues,PG,['TOT' 'CHH' 'GSW' 'TOR'],40.2,12.0,18.8,1.6,3.8,36.8,0.1,0.3,16.7,1.6,3.5,37.7,37.4,0.8,0.9,91.2,0.3,1.3,1.6,3.7,1.0,0.0,1.2,1.1,4.1,33,36,4,0
28,Etdrick Bohannon,PF,['IND' 'WAS' 'TOT' 'NYK' 'LAC' 'CLE'],6.5,0.0,4.9,0.2,0.6,39.4,0.0,0.0,,0.2,0.6,39.4,39.4,0.8,1.0,74.4,0.6,0.8,1.3,0.2,0.1,0.3,0.5,1.0,1.2,24,27,4,0
29,Keith Booth,SF,CHI,22.5,2.0,7.0,0.8,2.4,32.9,0.0,0.2,5.0,0.8,2.2,37.0,33.1,0.8,1.0,75.0,0.4,1.0,1.5,0.6,0.3,0.2,0.8,1.0,2.4,23,24,2,0
30,Bruce Bowen,SF,['BOS' 'TOT' 'PHI' 'MIA' 'SAS'],67.2,46.1,24.9,2.0,5.0,39.4,0.8,2.1,40.1,1.2,2.9,39.6,47.2,0.6,1.1,56.2,0.5,2.0,2.5,1.1,0.8,0.4,0.7,2.2,5.5,26,37,12,0
31,Anthony Bowie,SG,NYK,27.0,3.0,8.3,1.2,2.2,54.2,0.1,0.1,75.0,1.1,2.0,52.7,56.8,0.3,0.3,88.9,0.3,0.6,1.0,0.4,0.2,0.1,0.3,0.9,2.8,34,34,1,0
32,Shawn Bradley,C,DAL,68.6,30.2,20.4,2.6,5.5,47.6,0.0,0.0,10.0,2.6,5.4,47.9,47.7,1.4,1.8,78.4,1.8,3.8,5.6,0.6,0.6,2.1,0.8,2.8,6.5,25,32,8,0
33,Terrell Brandon,PG,['MIL' 'TOT' 'MIN'],43.3,41.9,34.3,6.1,13.9,43.7,0.4,1.4,29.1,5.7,12.5,45.2,45.1,2.2,2.6,87.2,0.7,2.9,3.5,8.2,1.9,0.3,2.2,2.1,14.8,27,31,5,0
34,Tim Breaux,SF,MIL,6.0,0.0,5.0,0.7,1.8,36.4,0.2,0.5,33.3,0.5,1.3,37.5,40.9,0.2,0.3,50.0,0.0,0.3,0.3,0.3,0.3,0.2,0.2,0.2,1.7,27,27,1,0
35,Scott Brooks,PG,CLE,43.0,0.0,7.3,0.7,1.5,42.4,0.1,0.3,45.5,0.5,1.3,41.8,46.2,0.4,0.5,90.0,0.1,0.6,0.7,1.1,0.4,0.1,0.3,0.6,1.8,32,32,1,0
36,Chucky Brown,SF,['ATL' 'CHH' 'TOT' 'SAS' 'GSW' 'CLE' 'SAC'],35.7,10.1,15.2,2.0,4.5,43.4,0.0,0.2,16.3,2.0,4.3,44.7,43.8,0.7,1.0,64.9,0.5,2.0,2.5,0.8,0.3,0.3,0.5,1.6,4.7,29,33,5,0
37,Dee Brown,PG,['TOT' 'BOS' 'TOR' 'ORL' 'UTA' 'WAS' 'PHO'],30.2,5.3,18.3,2.0,5.4,34.9,1.1,3.2,31.4,0.9,2.2,36.3,43.9,0.6,0.7,72.0,0.2,1.4,1.6,1.9,0.7,0.1,1.0,1.5,5.8,22,33,7,0
38,P.J. Brown,PF,['MIA' 'CHH' 'NOH' 'NOK' 'CHI' 'BOS'],69.9,65.5,29.6,3.4,7.4,45.6,0.0,0.0,0.0,3.4,7.4,45.7,45.6,1.9,2.3,80.6,2.7,5.0,7.7,1.4,0.8,0.9,1.2,2.8,8.8,28,38,11,0
39,Randy Brown,PG,['CHI' 'BOS' 'PHO'],42.7,21.3,18.3,1.7,4.4,32.6,0.0,0.1,12.5,1.7,4.3,32.9,32.6,0.8,1.0,70.8,0.4,1.3,1.6,2.6,0.9,0.3,1.0,1.8,4.1,29,34,6,0
40,Rick Brunson,PG,['POR' 'NYK' 'TOT' 'BOS' 'CHI' 'TOR' 'LAC' 'SEA' 'HOU'],28.4,3.4,10.6,1.0,2.6,39.6,0.2,0.6,29.8,0.8,2.0,41.6,42.7,0.5,0.7,64.8,0.2,0.8,1.0,1.8,0.5,0.0,0.9,0.9,2.6,25,33,9,0
41,Kobe Bryant*,SG,LAL,67.1,62.7,36.8,8.8,19.7,44.3,1.3,4.2,31.5,7.4,15.6,47.5,47.6,6.2,7.4,83.6,1.1,4.3,5.4,4.9,1.4,0.5,3.2,2.5,25.1,19,37,19,1
42,Mark Bryant,PF,['PHO' 'CHI' 'CLE' 'DAL' 'SAS' 'TOT' 'PHI' 'DEN' 'BOS'],30.0,11.7,11.2,1.1,2.4,32.0,0.0,0.0,0.0,1.1,2.4,32.1,32.0,0.5,0.8,72.8,0.8,1.4,2.3,0.5,0.2,0.2,0.6,1.8,2.7,32,37,6,0
43,Jud Buechler,SF,['CHI' 'DET' 'TOT' 'PHO' 'ORL'],53.0,1.7,11.9,1.0,2.5,40.0,0.5,1.4,35.2,0.5,1.1,46.2,49.9,0.1,0.1,54.3,0.4,1.3,1.7,0.7,0.4,0.2,0.3,1.1,2.6,29,33,5,0
44,Matt Bullard,PF,['HOU' 'CHH'],51.2,11.2,14.8,1.9,4.7,40.0,1.1,2.7,38.7,0.8,2.0,41.9,51.1,0.3,0.3,78.1,0.3,1.6,1.9,0.7,0.3,0.2,0.4,1.2,5.2,30,34,5,0
45,Scott Burrell,SF,['CHI' 'NJN' 'CHH'],47.5,5.5,16.0,2.1,5.2,41.2,0.8,2.2,35.7,1.3,3.0,45.4,48.6,0.6,1.0,64.4,0.8,1.8,2.6,0.9,1.0,0.4,0.4,2.1,5.6,27,30,4,0
46,Willie Burton,SF,['SAS' 'CHH'],8.0,0.0,4.6,0.4,2.0,26.2,0.1,0.5,16.7,0.4,1.4,29.2,29.8,0.6,1.1,58.4,0.8,0.6,1.4,0.0,0.1,0.1,0.2,0.6,1.7,29,30,2,0
47,Mitchell Butler,SG,['CLE' 'POR' 'WAS'],25.2,1.2,11.6,1.3,3.0,41.8,0.2,0.6,31.2,1.1,2.5,43.9,44.7,0.5,0.8,65.3,0.4,0.9,1.4,0.8,0.4,0.1,0.6,1.2,3.4,27,33,4,0
48,Jason Caffey,PF,['TOT' 'CHI' 'GSW' 'MIL'],51.2,20.6,20.3,2.9,6.2,47.8,0.0,0.0,0.0,2.9,6.2,48.0,47.8,1.8,2.8,64.3,1.9,2.6,4.6,0.8,0.5,0.3,1.5,2.6,7.7,24,29,6,0
49,Michael Cage,C,NJN,49.5,12.0,13.6,0.6,1.2,50.6,0.0,0.0,0.0,0.6,1.2,50.9,50.6,0.2,0.4,77.8,1.6,2.4,4.0,0.4,0.5,0.5,0.2,1.4,1.4,36,38,2,0
50,Adrian Caldwell,PF,DAL,1.0,0.0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,31,1,0
51,Marcus Camby,C,['TOR' 'NYK' 'DEN' 'LAC' 'TOT' 'POR' 'HOU'],52.2,43.8,28.1,3.4,7.5,45.7,0.0,0.1,18.1,3.4,7.4,45.9,45.8,1.4,2.2,61.8,2.7,7.0,9.7,1.8,1.0,2.1,1.2,2.6,8.4,23,38,16,0
52,Elden Campbell,C,['LAL' 'TOT' 'CHH' 'NOH' 'SEA' 'DET' 'NJN'],47.8,25.3,20.1,2.9,6.6,39.0,0.0,0.0,5.0,2.9,6.6,39.2,39.1,2.4,3.3,70.7,1.5,3.5,5.0,1.0,0.5,1.0,1.2,2.5,8.2,29,36,8,0
53,Antoine Carr,PF,['UTA' 'HOU' 'VAN'],35.0,2.7,11.8,1.6,3.6,43.6,0.0,0.0,0.0,1.6,3.6,43.8,43.6,0.7,0.9,75.9,0.5,1.2,1.7,0.5,0.1,0.6,0.5,2.2,3.8,36,38,3,0
54,Chris Carr,SG,['MIN' 'TOT' 'NJN' 'GSW' 'CHI' 'BOS'],34.8,6.5,14.5,2.4,6.1,38.9,0.6,1.7,32.9,1.8,4.4,40.8,43.9,1.3,1.7,75.5,0.6,1.6,2.2,0.9,0.3,0.2,1.1,1.6,6.7,23,26,4,0
55,Sam Cassell,PG,['NJN' 'TOT' 'MIL' 'MIN' 'LAC' 'BOS'],52.4,45.1,29.1,5.7,12.7,44.4,0.5,1.6,29.7,5.2,11.1,46.5,46.4,4.0,4.5,88.2,0.6,2.4,3.0,5.7,1.0,0.1,2.4,2.6,15.9,28,38,11,0
56,Kelvin Cato,C,['POR' 'HOU' 'ORL' 'TOT' 'DET' 'NYK'],47.3,20.7,16.7,1.8,3.6,47.3,0.0,0.0,20.0,1.8,3.6,47.4,47.3,1.1,1.7,65.6,1.3,3.0,4.3,0.4,0.4,1.0,0.7,2.2,4.7,23,32,10,0
57,Duane Causwell,C,MIA,28.0,4.8,9.2,1.0,2.1,47.6,0.0,0.0,,1.0,2.1,47.6,47.6,0.5,0.9,51.8,0.6,1.6,2.3,0.1,0.2,0.6,0.6,1.9,2.4,29,32,4,0
58,Cedric Ceballos,SF,['TOT' 'PHO' 'DAL' 'DET' 'MIA'],32.0,10.0,21.0,4.1,9.0,45.4,0.6,1.8,31.6,3.5,7.1,50.3,49.1,2.0,2.6,78.7,1.5,3.0,4.5,1.0,0.6,0.3,1.5,1.8,10.8,28,31,4,0
59,Tom Chambers,PF,PHI,1.0,0.0,10.0,2.0,2.0,100.0,0.0,0.0,,2.0,2.0,100.0,100.0,2.0,2.0,100.0,0.0,2.0,2.0,0.0,2.0,0.0,1.0,2.0,6.0,38,38,1,0
60,Rex Chapman,SG,PHO,53.0,40.3,27.5,4.2,10.7,39.1,1.3,3.6,35.7,2.9,7.1,41.1,45.3,1.7,2.2,79.1,0.3,1.9,2.2,2.4,0.8,0.1,1.3,1.3,11.5,30,32,3,0
61,Calbert Cheaney,SG,['WAS' 'BOS' 'DEN' 'UTA' 'GSW'],59.2,28.6,22.6,2.9,6.4,43.6,0.1,0.3,15.4,2.8,6.0,44.8,44.2,0.6,0.9,62.2,0.7,2.1,2.8,1.4,0.6,0.2,0.9,2.2,6.3,26,34,9,0
62,Pete Chilcutt,PF,['VAN' 'TOT' 'UTA' 'CLE' 'LAC'],40.0,0.7,11.9,1.0,2.6,34.4,0.3,0.8,28.8,0.8,1.9,37.0,38.1,0.2,0.3,89.7,0.8,1.7,2.5,0.6,0.3,0.2,0.4,1.3,2.6,29,31,3,0
63,Chris Childs,PG,['NYK' 'TOT' 'TOR' 'NJN'],52.8,2.0,22.1,1.7,4.4,38.5,0.4,1.4,29.9,1.3,3.0,42.4,43.3,0.9,1.0,80.7,0.3,1.9,2.2,4.0,0.8,0.1,1.6,2.8,4.7,30,35,6,0
64,Doug Christie,SG,['TOR' 'SAC' 'TOT' 'ORL' 'DAL' 'LAC'],53.6,51.7,30.6,3.3,8.0,40.2,0.7,2.2,27.8,2.6,5.9,43.7,44.1,2.1,2.5,83.0,0.8,2.8,3.7,3.5,1.7,0.4,1.9,2.2,9.4,27,36,10,0
65,Keith Closs,C,LAC,43.3,2.3,11.0,1.4,2.9,48.6,0.0,0.1,0.0,1.4,2.8,49.6,48.6,0.7,1.1,66.2,0.8,1.7,2.6,0.2,0.2,1.1,0.6,1.2,3.4,21,23,3,0
66,Derrick Coleman,PF,['PHI' 'CHH' 'DET'],45.6,34.6,27.2,4.0,9.7,39.8,0.4,1.2,26.5,3.7,8.4,41.7,41.6,2.8,3.6,79.4,1.9,5.3,7.1,1.6,0.6,0.9,1.8,2.3,11.2,30,37,8,0
67,Bimbo Coles,PG,['GSW' 'ATL' 'CLE' 'TOT' 'BOS' 'MIA'],40.8,17.1,19.4,2.1,5.4,38.5,0.1,0.6,18.7,2.0,4.7,40.7,39.5,1.0,1.2,84.1,0.3,1.3,1.6,2.7,0.6,0.1,1.1,1.8,5.3,29,35,7,0
68,James Collins,SG,LAC,23.0,0.0,4.5,0.9,2.4,38.2,0.4,0.9,45.0,0.5,1.5,34.3,46.4,0.3,0.6,57.1,0.3,0.3,0.6,0.1,0.3,0.1,0.3,0.5,2.6,24,24,1,0
69,Marty Conlon,C,['MIA' 'LAC'],9.3,0.0,6.5,0.8,2.0,39.4,0.0,0.0,,0.8,2.0,39.4,39.4,0.7,0.9,86.4,0.4,0.9,1.3,0.3,0.2,0.1,0.3,0.9,2.2,30,32,3,0
70,Tyrone Corbin,SF,['ATL' 'SAC' 'TOR'],48.8,22.8,20.5,2.3,5.9,35.6,0.4,1.3,22.4,1.9,4.6,38.7,38.3,0.8,1.1,69.6,0.7,2.2,2.9,1.1,0.7,0.1,0.7,1.8,5.8,35,38,4,0
71,James Cotton,SG,SEA,9.5,0.0,4.8,0.8,2.0,35.7,0.0,0.4,0.0,0.8,1.7,43.6,35.7,1.1,1.4,80.6,0.2,0.6,0.8,0.0,0.2,0.0,0.5,0.4,2.6,22,23,2,0
72,Chris Crawford,PF,ATL,36.0,13.1,14.9,2.4,5.2,46.1,0.2,0.7,27.4,2.1,4.5,48.5,48.1,1.4,1.8,81.8,0.8,1.4,2.2,0.6,0.4,0.4,0.9,2.0,6.4,22,28,7,0
73,Austin Croshere,PF,['IND' 'DAL' 'GSW' 'TOT' 'MIL' 'SAS'],48.1,6.3,14.3,1.8,4.6,39.0,0.5,1.6,32.0,1.3,3.0,43.5,44.8,1.2,1.5,74.8,1.0,2.5,3.5,0.8,0.3,0.2,0.8,1.3,5.4,22,33,12,0
74,John Crotty,PG,['POR' 'TOT' 'SEA' 'DET' 'UTA' 'DEN'],29.1,0.2,13.4,1.5,3.7,40.1,0.4,1.0,47.5,1.1,2.7,39.7,45.5,1.2,1.4,85.9,0.2,0.9,1.1,2.2,0.4,0.0,1.0,1.2,4.6,28,33,6,0
75,Terry Cummings,PF,['TOT' 'PHI' 'NYK' 'GSW'],44.0,1.2,17.4,3.1,6.9,45.4,0.0,0.0,33.3,3.1,6.9,45.4,45.4,1.2,1.6,71.8,1.6,2.7,4.3,0.8,0.6,0.2,0.9,2.8,7.4,36,38,3,0
76,William Cunningham,C,['TOT' 'UTA' 'PHI' 'TOR' 'NJN'],7.7,2.7,5.8,0.3,0.8,30.6,0.0,0.0,,0.3,0.8,30.6,30.6,0.0,0.0,0.0,0.5,0.9,1.4,0.1,0.1,0.2,0.1,1.2,0.5,23,24,2,0
77,Bill Curley,PF,['MIN' 'TOT' 'HOU' 'GSW' 'DAL'],17.8,1.5,10.3,1.1,2.3,45.0,0.0,0.1,24.3,1.1,2.2,46.5,45.4,0.4,0.7,65.5,0.8,1.0,1.8,0.3,0.4,0.2,0.6,2.2,2.7,25,28,4,0
78,Dell Curry,SG,['CHH' 'MIL' 'TOR'],57.6,3.0,17.0,3.1,6.9,43.8,1.2,2.8,41.2,1.9,4.1,45.7,52.3,0.6,0.7,81.9,0.3,1.3,1.6,1.2,0.6,0.1,0.8,1.1,7.9,33,37,5,0
79,Michael Curry,SG,['MIL' 'DET' 'TOR' 'IND'],66.2,33.2,20.4,1.6,3.6,44.2,0.0,0.2,27.4,1.6,3.4,45.4,45.0,1.0,1.2,78.2,0.3,1.3,1.6,1.3,0.5,0.1,0.7,2.4,4.3,29,36,8,0
80,Erick Dampier,C,['GSW' 'DAL' 'MIA' 'ATL'],61.0,50.0,23.8,2.7,5.6,49.3,0.0,0.0,4.8,2.7,5.5,49.5,49.4,1.6,2.7,60.7,2.7,4.2,6.9,0.8,0.3,1.3,1.4,2.9,7.1,22,36,15,0
81,Antonio Daniels,PG,['VAN' 'SAS' 'POR' 'SEA' 'WAS' 'TOT' 'NOH' 'PHI'],63.1,15.3,20.6,2.3,5.1,43.8,0.4,1.2,29.5,1.9,4.0,48.8,47.3,1.8,2.2,80.0,0.2,1.5,1.7,3.1,0.6,0.1,1.0,0.9,6.7,22,35,13,0
82,Lloyd Daniels,SG,TOR,6.0,0.0,13.7,2.0,4.8,41.4,0.3,1.5,22.2,1.7,3.3,50.0,44.8,1.3,1.7,80.0,0.7,0.5,1.2,0.7,0.5,0.3,0.7,0.7,5.7,30,30,1,0
83,Yinka Dare,C,NJN,10.0,0.0,6.0,0.4,1.8,22.2,0.0,0.0,,0.4,1.8,22.2,22.2,0.4,0.8,50.0,1.0,0.7,1.7,0.1,0.0,0.2,0.2,0.9,1.2,25,25,1,0
84,Antonio Davis,C,['IND' 'TOR' 'TOT' 'CHI' 'NYK'],56.8,45.8,29.6,3.3,7.8,43.3,0.0,0.0,0.0,3.3,7.8,43.3,43.3,2.6,3.5,71.4,2.6,4.9,7.4,1.2,0.5,0.8,1.4,2.8,9.3,29,37,9,0
85,Ben Davis,PF,['NYK' 'PHO'],6.7,0.0,3.0,0.5,1.6,31.5,0.0,0.0,,0.5,1.6,31.5,31.5,0.1,0.3,50.0,0.9,0.5,1.4,0.3,0.1,0.1,0.2,0.4,1.2,25,27,3,0
86,Dale Davis,C,['IND' 'POR' 'TOT' 'GSW' 'DET'],59.2,41.6,23.1,2.4,4.8,48.8,0.0,0.0,0.0,2.4,4.8,48.9,48.8,1.1,1.8,61.2,2.6,4.0,6.6,0.8,0.5,1.0,0.7,2.3,6.0,28,37,10,0
87,Emanual Davis,PG,['HOU' 'SEA' 'ATL'],42.6,12.4,17.8,1.8,4.6,38.9,0.7,1.9,33.0,1.1,2.7,43.1,46.0,0.6,0.8,80.0,0.4,1.6,2.0,1.7,0.7,0.1,1.2,1.5,4.8,29,34,5,0
88,Hubert Davis,SG,['DAL' 'TOT' 'WAS' 'DET' 'NJN'],42.7,10.9,18.8,2.2,4.9,34.4,0.8,1.7,35.8,1.4,3.2,34.6,40.4,0.6,0.7,88.1,0.2,1.1,1.4,1.4,0.3,0.0,0.8,1.3,5.7,27,33,7,0
89,Mark Davis,SF,['PHI' 'MIA' 'GSW'],32.7,6.7,13.9,1.5,3.6,39.6,0.0,0.1,0.0,1.5,3.6,40.2,39.6,1.2,1.6,70.9,0.9,1.6,2.6,1.0,0.7,0.2,1.6,2.2,4.2,24,26,3,0
90,Terry Davis,PF,['WAS' 'DEN'],43.3,33.7,16.9,1.2,2.4,50.3,0.0,0.0,0.0,1.2,2.4,50.4,50.3,0.7,1.3,57.5,1.8,2.5,4.4,0.4,0.3,0.2,0.5,2.2,3.2,30,33,3,0
91,Todd Day,SG,['MIA' 'PHO' 'MIN'],31.3,0.3,13.7,1.9,5.2,37.4,0.8,2.5,31.1,1.2,2.7,41.4,45.4,1.0,1.5,70.6,0.5,1.0,1.5,1.1,0.8,0.2,0.8,2.0,5.7,28,31,3,0
92,Andrew DeClercq,C,['BOS' 'TOT' 'CLE' 'ORL'],54.1,28.3,17.3,1.9,3.9,49.6,0.0,0.0,0.0,1.9,3.9,49.6,49.6,1.1,1.7,61.2,1.8,2.4,4.2,0.6,0.7,0.5,0.9,3.1,5.0,24,31,8,0
93,Terry Dehere,PG,['SAC' 'TOT' 'VAN'],32.2,4.5,11.7,1.4,3.8,37.3,0.6,1.5,35.8,0.9,2.3,38.4,44.7,0.4,0.5,74.2,0.3,0.6,1.0,1.2,0.4,0.1,0.7,1.2,3.8,26,27,2,0
94,Vinny Del Negro,PG,['SAS' 'MIL' 'TOT' 'GSW' 'PHO'],43.0,6.7,16.9,2.0,4.6,41.4,0.1,0.3,23.2,1.9,4.2,42.4,42.3,0.7,0.8,88.6,0.2,1.3,1.5,2.3,0.4,0.0,0.6,1.2,4.7,31,35,5,0
95,Bison Dele,C,DET,63.5,63.0,28.8,5.6,11.0,50.6,0.0,0.0,16.7,5.6,11.0,50.6,50.6,2.1,3.0,69.6,2.4,4.9,7.2,1.3,0.8,0.8,2.3,3.4,13.4,28,29,2,0
