,Player,Pos,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Age at First Season,Age at Last Season,Num Season(s),MVP(s)
1291,Zabian Dowdell,PG,PHO,24.0,0.0,12.2,2.1,5.2,40.8,0.1,0.4,30.0,2.0,4.8,41.7,42.0,0.7,0.7,94.1,0.2,0.6,0.8,2.1,0.8,0.1,1.2,1.3,5.0,26,26,1,0
1292,Devin Ebanks,SG,LAL,21.0,5.0,10.9,1.3,3.4,38.6,0.1,0.6,22.4,1.1,2.8,41.0,40.6,0.8,1.1,74.2,0.8,1.1,2.0,0.4,0.3,0.2,0.6,0.9,3.5,21,23,3,0
1293,Semih Erden,C,['TOT' 'BOS' 'CLE'],27.5,6.2,14.2,1.4,2.8,49.3,0.0,0.0,,1.4,2.8,49.3,49.3,1.0,1.5,65.6,1.0,1.8,2.8,0.4,0.4,0.6,0.7,2.5,3.7,24,25,2,0
1294,Jeremy Evans,SF,['UTA' 'DAL' 'ATL'],35.7,1.3,8.8,1.2,2.0,64.8,0.0,0.1,10.8,1.2,1.9,67.7,65.7,0.5,0.7,67.7,0.9,1.2,2.1,0.3,0.3,0.4,0.4,1.0,2.9,23,30,7,0
1295,Patrick Ewing,SF,NOH,7.0,0.0,2.7,0.0,0.7,0.0,0.0,0.3,0.0,0.0,0.4,0.0,0.0,0.4,0.6,75.0,0.1,0.1,0.3,0.3,0.0,0.1,0.1,0.1,0.4,26,26,1,0
1296,Christian Eyenga,SF,['CLE' 'TOT' 'LAL'],14.5,4.5,17.2,1.8,5.0,33.1,0.2,1.0,27.7,1.6,4.0,35.8,35.2,0.8,1.2,61.9,0.7,1.5,2.2,0.8,0.4,0.8,0.7,1.0,4.7,21,22,2,0
1297,Derrick Favors,PF,['TOT' 'NJN' 'UTA' 'NOP' 'OKC'],62.0,37.9,23.4,4.1,7.6,53.6,0.0,0.2,11.7,4.0,7.4,54.7,53.9,1.7,2.6,64.5,2.4,4.4,6.8,1.0,0.7,1.1,1.2,2.5,9.9,19,30,12,0
1298,Landry Fields,SF,['NYK' 'TOR'],51.0,35.2,19.8,2.2,4.7,46.1,0.3,1.0,25.8,1.9,3.7,49.6,48.5,0.8,1.2,68.8,0.9,2.7,3.5,1.4,0.7,0.2,0.9,1.0,5.5,22,26,5,0
1299,Gary Forbes,SF,['DEN' 'TOR'],55.5,6.5,13.8,2.2,4.9,43.4,0.4,1.3,33.8,1.7,3.6,46.4,47.8,1.2,1.6,70.2,0.5,1.5,2.0,1.0,0.4,0.1,0.9,1.2,5.9,25,26,2,0
1300,Paul George,SF,['IND' 'OKC' 'LAC'],61.4,57.4,31.8,6.6,15.4,43.1,2.5,6.4,37.9,4.2,9.0,46.5,51.0,3.7,4.4,83.2,0.8,5.3,6.2,3.5,1.6,0.4,2.7,2.6,19.5,20,31,12,0
